caseid,age,total_children,felling_live,gender,marital_status,education,self_rated_mental_health,income_respondent,average_hours_worked
10857,80,4,8,Female,Widowed,Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
10858,61,2,7,Female,Living common-law,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",30.0 to 40.0 hours
10859,44.7,3,7,Female,Living common-law,Trade certificate or diploma,Very good,"$25,000 to $49,999",40.1 to 50.0 hours
10860,45.8,2,8,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
10861,23.1,0,9,Male,"Single, never married",Less than high school diploma or its equivalent,Good,"$25,000 to $49,999",30.0 to 40.0 hours
10862,66.6,2,5,Male,Separated,Less than high school diploma or its equivalent,Fair,"Less than $25,000",Valid skip
10863,50.6,2,9,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$125,000 and more",30.0 to 40.0 hours
10864,31.7,1,8,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"Less than $25,000",30.0 to 40.0 hours
10865,80,6,10,Female,Widowed,"College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",Valid skip
10866,36.3,3,7,Male,Living common-law,Trade certificate or diploma,Very good,"$75,000 to $99,999",30.0 to 40.0 hours
10867,36.9,2,10,Male,"Single, never married",Less than high school diploma or its equivalent,Excellent,"Less than $25,000",30.0 to 40.0 hours
10868,37.5,2,7,Female,Living common-law,"University certificate, diploma or degree above the bach...",Very good,"$75,000 to $99,999",30.0 to 40.0 hours
10869,37.1,0,8,Male,"Single, never married",High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
10870,59.3,2,8,Female,Divorced,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",0.1 to 29.9 hours
10871,78.5,3,10,Female,Widowed,Less than high school diploma or its equivalent,Good,"$25,000 to $49,999",Valid skip
10872,64.8,2,10,Female,Married,"University certificate, diploma or degree above the bach...",Very good,"$50,000 to $74,999",Valid skip
10873,22.3,0,6,Male,"Single, never married",High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Don't know
10874,31.7,0,8,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"Less than $25,000",0.1 to 29.9 hours
10875,67.6,2,8,Male,Married,"University certificate, diploma or degree above the bach...",Very good,"$50,000 to $74,999",Valid skip
10876,37.3,2,10,Male,Married,"University certificate, diploma or degree above the bach...",Very good,"$75,000 to $99,999",30.0 to 40.0 hours
10877,73.1,2,5,Female,Married,Less than high school diploma or its equivalent,Fair,"$25,000 to $49,999",Valid skip
10878,73.3,0,9,Male,Divorced,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
10879,35.1,0,7,Male,Married,"College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",30.0 to 40.0 hours
10880,80,1,8,Female,Widowed,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",Valid skip
10881,80,2,7,Female,Married,Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
10882,22,0,4,Male,"Single, never married",High school diploma or a high school equivalency certificate,Fair,"$50,000 to $74,999",30.0 to 40.0 hours
10883,40.3,4,9,Male,Divorced,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",0.1 to 29.9 hours
10884,66.3,2,4,Female,Divorced,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
10885,73.2,3,5,Male,Divorced,Less than high school diploma or its equivalent,Fair,"$25,000 to $49,999",50.1 hours and more
10886,60.1,2,8,Female,Married,High school diploma or a high school equivalency certificate,Good,"$50,000 to $74,999",30.0 to 40.0 hours
10887,36.7,3,7,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
10888,45.7,0,10,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",0.1 to 29.9 hours
10889,49.8,2,6,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$100,000 to $ 124,999",30.0 to 40.0 hours
10890,37.9,1,10,Male,Living common-law,"University certificate, diploma or degree above the bach...",Excellent,"$125,000 and more",30.0 to 40.0 hours
10891,49.9,1,7,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"Less than $25,000",30.0 to 40.0 hours
10892,55.2,0,8,Male,"Single, never married",Less than high school diploma or its equivalent,Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
10893,55.4,4,10,Male,Living common-law,High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",50.1 hours and more
10894,68.8,1,8,Female,Divorced,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
10895,56.9,1,8,Female,"Single, never married",Trade certificate or diploma,Good,"$25,000 to $49,999",0.1 to 29.9 hours
10896,26.3,0,8,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$25,000 to $49,999",30.0 to 40.0 hours
10897,48.8,3,8,Female,Married,"College, CEGEP or other non-university certificate or di...",Good,"$50,000 to $74,999",30.0 to 40.0 hours
10898,54.4,1,NA,Female,Widowed,Trade certificate or diploma,"NA","$50,000 to $74,999",30.0 to 40.0 hours
10899,60.9,2,9,Female,Married,High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
10900,16.4,0,10,Male,"Single, never married",Less than high school diploma or its equivalent,Excellent,"Less than $25,000",Valid skip
10901,68.9,2,6,Female,Married,Trade certificate or diploma,Good,"$25,000 to $49,999",Valid skip
10902,67.1,0,10,Male,"Single, never married",High school diploma or a high school equivalency certificate,Excellent,"Less than $25,000",Valid skip
10903,42.7,2,8,Female,Widowed,"College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
10904,59.6,2,9,Female,Married,High school diploma or a high school equivalency certificate,Very good,"$50,000 to $74,999",30.0 to 40.0 hours
10905,74.7,2,8,Female,Divorced,"College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",Valid skip
10906,77.4,1,9,Female,Married,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
10907,19.1,0,7,Female,"Single, never married",High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",0.1 to 29.9 hours
10908,17.7,0,8,Male,"Single, never married",Less than high school diploma or its equivalent,Very good,"Less than $25,000",0.1 to 29.9 hours
10909,41.6,2,7,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$50,000 to $74,999",30.0 to 40.0 hours
10910,69,0,8,Female,Divorced,"College, CEGEP or other non-university certificate or di...",Very good,"Less than $25,000",Valid skip
10911,63.8,2,10,Female,Married,"University certificate, diploma or degree above the bach...",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
10912,80,1,10,Female,Widowed,Less than high school diploma or its equivalent,Excellent,"$25,000 to $49,999",Valid skip
10913,69.7,0,5,Female,Living common-law,High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",Valid skip
10914,17.7,0,9,Female,"Single, never married",High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",0.1 to 29.9 hours
10915,75.3,3,7,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"Less than $25,000",Valid skip
10916,44.1,2,9,Female,Married,"College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",0.1 to 29.9 hours
10917,45.1,3,9,Male,Separated,"University certificate, diploma or degree above the bach...",Good,"Less than $25,000",Valid skip
