caseid,age,total_children,felling_live,gender,marital_status,education,self_rated_mental_health,income_respondent,average_hours_worked
1,52.7,1,8,Female,"Single, never married",High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
2,51.1,5,10,Male,Married,Trade certificate or diploma,Good,"Less than $25,000",50.1 hours and more
3,63.6,5,8,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$25,000 to $49,999",Valid skip
4,80,1,10,Female,Married,High school diploma or a high school equivalency certificate,Very good,"$50,000 to $74,999",Valid skip
5,28,0,8,Male,Living common-law,"College, CEGEP or other non-university certificate or di...",Good,"Less than $25,000",30.0 to 40.0 hours
6,63,2,9,Female,Married,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
7,58.8,2,4,Female,"Single, never married",Less than high school diploma or its equivalent,Poor,"Less than $25,000",Valid skip
8,80,7,10,Female,Divorced,Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
9,63.8,0,8,Female,"Single, never married",High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",30.0 to 40.0 hours
10,25.2,1,5,Male,"Single, never married",Less than high school diploma or its equivalent,Poor,"Less than $25,000",Valid skip
11,15.7,0,10,Male,"Single, never married",Less than high school diploma or its equivalent,Excellent,"Less than $25,000",0.1 to 29.9 hours
12,40.3,0,6,Female,"Single, never married",University certificate or diploma below the bachelor's level,Good,"$25,000 to $49,999",50.1 hours and more
13,56.8,4,6,Female,Married,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Don't know
14,26.8,2,10,Female,Living common-law,Trade certificate or diploma,Very good,"$25,000 to $49,999",30.0 to 40.0 hours
15,66.8,1,6,Female,Living common-law,High school diploma or a high school equivalency certificate,Fair,"$25,000 to $49,999",Valid skip
16,30.6,0,9,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
17,68.8,7,9,Male,Married,High school diploma or a high school equivalency certificate,Good,"$125,000 and more",30.0 to 40.0 hours
18,33.8,0,8,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$75,000 to $99,999",40.1 to 50.0 hours
19,73.2,1,10,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$50,000 to $74,999",Valid skip
20,39.1,3,9,Male,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$75,000 to $99,999",Don't know
21,64.8,2,10,Male,Married,"University certificate, diploma or degree above the bach...",Excellent,"$25,000 to $49,999",Valid skip
22,25.5,0,8,Male,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
23,49.4,0,8,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$75,000 to $99,999",30.0 to 40.0 hours
24,16.3,0,7,Male,"Single, never married",Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
25,63.5,0,8,Female,Divorced,"College, CEGEP or other non-university certificate or di...",Very good,"$25,000 to $49,999",Valid skip
26,78.4,0,9,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$75,000 to $99,999",Valid skip
27,30.8,0,7,Female,"Single, never married","University certificate, diploma or degree above the bach...",Very good,"$100,000 to $ 124,999",50.1 hours and more
28,19.1,0,2,Female,"Single, never married",Less than high school diploma or its equivalent,Excellent,"Less than $25,000",Valid skip
29,40.8,3,7,Female,Separated,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",40.1 to 50.0 hours
30,43.9,0,9,Male,Living common-law,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",30.0 to 40.0 hours
31,40.7,2,8,Female,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",0.1 to 29.9 hours
32,80,2,7,Male,Widowed,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",Valid skip
33,16.8,0,8,Male,"Single, never married",Less than high school diploma or its equivalent,Excellent,"Less than $25,000",0.1 to 29.9 hours
34,80,3,10,Female,Widowed,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",Valid skip
35,71.4,2,8,Male,Separated,University certificate or diploma below the bachelor's level,Very good,"$50,000 to $74,999",40.1 to 50.0 hours
36,71.6,2,10,Male,Married,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
37,29.6,0,7,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
38,74.9,0,8,Female,"Single, never married","University certificate, diploma or degree above the bach...",Very good,"$50,000 to $74,999",Valid skip
39,18.6,0,5,Male,"Single, never married",Less than high school diploma or its equivalent,Very good,"Less than $25,000",0.1 to 29.9 hours
40,54.3,3,10,Male,Living common-law,High school diploma or a high school equivalency certificate,Excellent,"Less than $25,000",50.1 hours and more
41,80,2,10,Male,Married,Less than high school diploma or its equivalent,Good,"$25,000 to $49,999",Valid skip
42,37,1,9,Female,Living common-law,University certificate or diploma below the bachelor's level,Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
43,27.3,1,8,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",30.0 to 40.0 hours
44,68.9,4,10,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$50,000 to $74,999",40.1 to 50.0 hours
45,53.6,0,8,Female,Living common-law,Less than high school diploma or its equivalent,Fair,"Less than $25,000",40.1 to 50.0 hours
46,63.4,3,10,Male,Married,High school diploma or a high school equivalency certificate,Excellent,"$125,000 and more",50.1 hours and more
47,34.5,1,7,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
48,36.2,2,8,Male,Living common-law,Trade certificate or diploma,Good,"$100,000 to $ 124,999",30.0 to 40.0 hours
49,80,6,8,Female,Widowed,Less than high school diploma or its equivalent,Don't know,"$25,000 to $49,999",Valid skip
50,69.4,2,9,Male,Separated,Less than high school diploma or its equivalent,Very good,"Less than $25,000",30.0 to 40.0 hours
51,26.8,1,8,Female,Living common-law,High school diploma or a high school equivalency certificate,Fair,"Less than $25,000",0.1 to 29.9 hours
52,60.6,2,8,Male,Living common-law,"University certificate, diploma or degree above the bach...",Very good,"Less than $25,000",40.1 to 50.0 hours
53,51.9,1,5,Female,Separated,High school diploma or a high school equivalency certificate,Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
54,61.5,3,9,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$125,000 and more",30.0 to 40.0 hours
55,47.5,2,9,Female,Separated,"University certificate, diploma or degree above the bach...",Excellent,"$100,000 to $ 124,999",Refusal
56,46.6,2,7,Male,Separated,"College, CEGEP or other non-university certificate or di...",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
57,53.6,0,7,Female,Living common-law,High school diploma or a high school equivalency certificate,Very good,"$50,000 to $74,999",30.0 to 40.0 hours
58,68.6,3,10,Female,Married,Less than high school diploma or its equivalent,Good,"Less than $25,000",30.0 to 40.0 hours
59,45.1,0,8,Male,Living common-law,Trade certificate or diploma,Good,"$25,000 to $49,999",30.0 to 40.0 hours
60,51,2,6,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$75,000 to $99,999",30.0 to 40.0 hours
61,70.8,2,10,Female,Living common-law,Less than high school diploma or its equivalent,Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
62,60.8,0,8,Female,"Single, never married",Trade certificate or diploma,Excellent,"Less than $25,000",30.0 to 40.0 hours
63,53.1,0,6,Female,Separated,"College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",0.1 to 29.9 hours
64,34,3,9,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"Less than $25,000",0.1 to 29.9 hours
65,72.4,3,7,Female,Married,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
66,80,3,9,Female,Widowed,Less than high school diploma or its equivalent,Good,"$25,000 to $49,999",Valid skip
67,65.9,3,9,Female,Living common-law,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",0.1 to 29.9 hours
68,61.8,2,5,Female,Widowed,"College, CEGEP or other non-university certificate or di...",Very good,"Less than $25,000",Valid skip
69,37,2,10,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
70,58.4,0,6,Male,"Single, never married",High school diploma or a high school equivalency certificate,Fair,"Less than $25,000",Valid skip
71,80,2,9,Male,Married,High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",Valid skip
72,42.3,3,8,Female,Living common-law,"College, CEGEP or other non-university certificate or di...",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
73,44.3,2,6,Male,Divorced,High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
74,26.7,0,10,Female,"Single, never married",High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",30.0 to 40.0 hours
75,24.1,0,10,Female,Married,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",0.1 to 29.9 hours
76,41.1,2,10,Male,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
77,26.1,0,8,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"Less than $25,000",Don't know
78,31.5,1,9,Female,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",0.1 to 29.9 hours
79,57.9,2,6,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
80,15.4,0,9,Female,"Single, never married",Less than high school diploma or its equivalent,Excellent,"Less than $25,000",40.1 to 50.0 hours
81,16.4,0,8,Female,"Single, never married",Less than high school diploma or its equivalent,Very good,"Less than $25,000",30.0 to 40.0 hours
82,41.7,0,7,Male,Separated,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$75,000 to $99,999",40.1 to 50.0 hours
83,24.9,0,8,Female,Living common-law,Less than high school diploma or its equivalent,Very good,"Less than $25,000",30.0 to 40.0 hours
84,54,0,8,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$100,000 to $ 124,999",30.0 to 40.0 hours
85,17.1,0,8,Male,"Single, never married",Less than high school diploma or its equivalent,Good,"Less than $25,000",0.1 to 29.9 hours
86,63.9,0,8,Female,"Single, never married","University certificate, diploma or degree above the bach...",Excellent,"$50,000 to $74,999",0.1 to 29.9 hours
87,57.8,3,8,Female,Married,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",0.1 to 29.9 hours
88,74.8,4,7,Female,Widowed,Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
89,41.1,2,7,Male,Married,High school diploma or a high school equivalency certificate,Good,"$75,000 to $99,999",30.0 to 40.0 hours
90,59.9,1,4,Male,Divorced,Less than high school diploma or its equivalent,Fair,"Less than $25,000",Valid skip
91,80,0,NA,Female,"Single, never married","University certificate, diploma or degree above the bach...",Excellent,"$25,000 to $49,999",Valid skip
92,53.3,1,7,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$75,000 to $99,999",30.0 to 40.0 hours
93,35.2,0,7,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"Less than $25,000",0.1 to 29.9 hours
94,80,2,NA,Male,Married,"College, CEGEP or other non-university certificate or di...",Good,"Less than $25,000",Valid skip
95,73.3,4,6,Female,Married,"College, CEGEP or other non-university certificate or di...",Good,"Less than $25,000",Valid skip
96,80,2,8,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",Valid skip
97,72.3,1,5,Female,Widowed,"College, CEGEP or other non-university certificate or di...",Very good,"$25,000 to $49,999",Valid skip
98,56.3,1,10,Female,Divorced,"College, CEGEP or other non-university certificate or di...",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
99,64.9,0,0,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Very good,"$75,000 to $99,999",Valid skip
100,29.8,0,7,Male,"Single, never married","University certificate, diploma or degree above the bach...",Good,"$50,000 to $74,999",30.0 to 40.0 hours
101,71,2,9,Male,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$25,000 to $49,999",Valid skip
102,33,2,10,Female,Married,High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",Don't know
103,25.3,0,8,Male,Living common-law,"College, CEGEP or other non-university certificate or di...",Very good,"Less than $25,000",30.0 to 40.0 hours
104,63.4,2,8,Male,Married,"University certificate, diploma or degree above the bach...",Good,"Less than $25,000",40.1 to 50.0 hours
105,79,4,9,Male,Widowed,Less than high school diploma or its equivalent,Good,"$25,000 to $49,999",Valid skip
106,43.3,1,6,Male,Married,"NA",Good,"$25,000 to $49,999",50.1 hours and more
107,57.3,3,4,Female,Married,High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",Don't know
108,45.3,0,10,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$125,000 and more",30.0 to 40.0 hours
109,55.8,1,8,Male,Married,"University certificate, diploma or degree above the bach...",Very good,"$75,000 to $99,999",30.0 to 40.0 hours
110,24.2,0,10,Female,Married,"College, CEGEP or other non-university certificate or di...",Good,"Less than $25,000",0.1 to 29.9 hours
111,47.7,0,8,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
112,41.4,2,7,Female,Married,"University certificate, diploma or degree above the bach...",Very good,"$125,000 and more",30.0 to 40.0 hours
113,64.3,1,NA,Female,Widowed,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",Valid skip
114,80,2,9,Female,Widowed,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
115,29.3,0,7,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
116,79.1,2,10,Male,Married,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",Valid skip
117,59.3,4,8,Male,Married,"College, CEGEP or other non-university certificate or di...",Good,"$125,000 and more",50.1 hours and more
118,47.3,4,8,Male,Living common-law,"College, CEGEP or other non-university certificate or di...",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
119,35.9,7,9,Female,Divorced,High school diploma or a high school equivalency certificate,Poor,"$25,000 to $49,999",30.0 to 40.0 hours
120,22.5,0,9,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
121,53.8,1,8,Female,Married,High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
122,51.4,1,10,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$75,000 to $99,999",30.0 to 40.0 hours
123,45,1,10,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
124,72.1,2,6,Female,Divorced,"University certificate, diploma or degree above the bach...",Fair,"$25,000 to $49,999",Valid skip
125,73,0,10,Female,Living common-law,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
126,70.8,5,9,Male,Married,"College, CEGEP or other non-university certificate or di...",Good,"$75,000 to $99,999",30.0 to 40.0 hours
127,63.8,0,8,Male,"Single, never married",High school diploma or a high school equivalency certificate,Fair,"Less than $25,000",Valid skip
128,46.8,5,10,Male,Married,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",30.0 to 40.0 hours
129,58.1,6,2,Female,Divorced,"College, CEGEP or other non-university certificate or di...",Poor,"$50,000 to $74,999",50.1 hours and more
130,36.5,2,9,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$75,000 to $99,999",30.0 to 40.0 hours
131,60.3,4,10,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
132,66.1,3,9,Male,Married,Less than high school diploma or its equivalent,Excellent,"$50,000 to $74,999",Valid skip
133,78.2,3,NA,Male,Separated,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",Valid skip
134,33.9,2,9,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$125,000 and more",30.0 to 40.0 hours
135,76.6,0,8,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",Valid skip
136,74.8,7,8,Female,"Single, never married",Trade certificate or diploma,Good,"$25,000 to $49,999",40.1 to 50.0 hours
137,70.6,4,10,Female,Widowed,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",Valid skip
138,27.8,0,8,Male,Living common-law,"College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
139,80,5,0,Male,Separated,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
140,39.6,2,8,Male,Living common-law,University certificate or diploma below the bachelor's level,Very good,"$50,000 to $74,999",30.0 to 40.0 hours
141,30.8,1,9,Male,Married,University certificate or diploma below the bachelor's level,Excellent,"Less than $25,000",40.1 to 50.0 hours
142,69.6,1,10,Male,Married,"University certificate, diploma or degree above the bach...",Excellent,"$75,000 to $99,999",Valid skip
143,56.3,2,6,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Fair,"$25,000 to $49,999",0.1 to 29.9 hours
144,76.8,2,8,Female,Widowed,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",Valid skip
145,30.9,0,8,Male,Separated,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",50.1 hours and more
146,80,2,7,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$50,000 to $74,999",Valid skip
147,33.3,1,8,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
148,63.8,2,8,Female,Divorced,"College, CEGEP or other non-university certificate or di...",Very good,"$50,000 to $74,999",Valid skip
149,57,0,6,Female,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"Less than $25,000",Valid skip
150,41.3,0,7,Female,"Single, never married","University certificate, diploma or degree above the bach...",Good,"$75,000 to $99,999",0.1 to 29.9 hours
151,18.3,0,8,Female,"Single, never married",Less than high school diploma or its equivalent,Good,"Less than $25,000",0.1 to 29.9 hours
152,40.4,1,7,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$75,000 to $99,999",30.0 to 40.0 hours
153,48.9,0,8,Female,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
154,65.3,0,10,Female,Married,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
155,29.7,0,9,Male,Married,"College, CEGEP or other non-university certificate or di...",Good,"Less than $25,000",50.1 hours and more
156,33.1,0,6,Male,"Single, never married",High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",0.1 to 29.9 hours
157,25.8,0,4,Female,"Single, never married",High school diploma or a high school equivalency certificate,Fair,"Less than $25,000",0.1 to 29.9 hours
158,39.3,4,10,Female,Living common-law,"College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",0.1 to 29.9 hours
159,69.9,0,10,Female,"Single, never married",High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",Valid skip
160,67.1,4,9,Female,Married,High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",0.1 to 29.9 hours
161,31.8,0,6,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",30.0 to 40.0 hours
162,61.1,2,5,Female,Married,"College, CEGEP or other non-university certificate or di...",Good,"Less than $25,000",30.0 to 40.0 hours
163,65.6,1,9,Female,Divorced,"University certificate, diploma or degree above the bach...",Excellent,"$125,000 and more",Valid skip
164,59,2,8,Male,Divorced,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$75,000 to $99,999",30.0 to 40.0 hours
165,63.3,0,10,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",0.1 to 29.9 hours
166,43.9,0,10,Male,Living common-law,"University certificate, diploma or degree above the bach...",Excellent,"$100,000 to $ 124,999",30.0 to 40.0 hours
167,51.3,4,10,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",30.0 to 40.0 hours
168,52.9,1,9,Female,Married,High school diploma or a high school equivalency certificate,Excellent,"Less than $25,000",30.0 to 40.0 hours
169,40.6,1,7,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$25,000 to $49,999",30.0 to 40.0 hours
170,76.6,2,8,Female,Widowed,Less than high school diploma or its equivalent,Good,"$25,000 to $49,999",Valid skip
171,16.7,0,9,Female,"Single, never married",Less than high school diploma or its equivalent,Very good,"Less than $25,000",0.1 to 29.9 hours
172,62.3,2,10,Male,Married,Trade certificate or diploma,Very good,"$75,000 to $99,999",30.0 to 40.0 hours
173,57.2,0,1,Male,Widowed,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
174,80,7,10,Male,Widowed,High school diploma or a high school equivalency certificate,Good,"$50,000 to $74,999",Valid skip
175,69.2,5,7,Male,Divorced,"College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",Valid skip
176,64.9,0,10,Female,"Single, never married",High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
177,70.6,2,9,Male,Widowed,High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",Valid skip
178,73.4,2,10,Female,Married,Less than high school diploma or its equivalent,Don't know,"Less than $25,000",Valid skip
179,80,4,10,Male,Married,Less than high school diploma or its equivalent,Excellent,"$25,000 to $49,999",Valid skip
180,67.4,3,9,Female,Divorced,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",Don't know
181,61.8,1,7,Female,Married,High school diploma or a high school equivalency certificate,Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
182,67.4,3,7,Male,Widowed,High school diploma or a high school equivalency certificate,Good,"$50,000 to $74,999",0.1 to 29.9 hours
183,47.3,0,5,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$25,000 to $49,999",40.1 to 50.0 hours
184,52.6,0,8,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
185,20.3,0,5,Female,"Single, never married",High school diploma or a high school equivalency certificate,Fair,"Less than $25,000",Valid skip
186,31.6,1,9,Female,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
187,78,2,9,Male,Married,High school diploma or a high school equivalency certificate,Very good,"$50,000 to $74,999",0.1 to 29.9 hours
188,24.3,0,10,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",40.1 to 50.0 hours
189,50,1,9,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$50,000 to $74,999",Valid skip
190,63.1,4,10,Male,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
191,62,0,9,Female,"Single, never married","University certificate, diploma or degree above the bach...",Excellent,"$50,000 to $74,999",Valid skip
192,36.4,0,9,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
193,63.1,3,9,Male,Divorced,Less than high school diploma or its equivalent,Good,"$50,000 to $74,999",30.0 to 40.0 hours
194,68.2,0,7,Female,Widowed,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",Valid skip
195,53.5,3,8,Male,Married,"University certificate, diploma or degree above the bach...",Excellent,"$125,000 and more",30.0 to 40.0 hours
196,51.2,3,7,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$25,000 to $49,999",30.0 to 40.0 hours
197,68,2,9,Male,Married,High school diploma or a high school equivalency certificate,Excellent,"$75,000 to $99,999",0.1 to 29.9 hours
198,57.5,3,10,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$100,000 to $ 124,999",0.1 to 29.9 hours
199,51.5,2,5,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Fair,"$50,000 to $74,999",30.0 to 40.0 hours
200,34.9,3,NA,Male,Separated,Less than high school diploma or its equivalent,Good,"$50,000 to $74,999",50.1 hours and more
201,54.2,3,8,Female,Married,"NA",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
202,68,3,10,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$100,000 to $ 124,999",40.1 to 50.0 hours
203,61.7,0,10,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$75,000 to $99,999",50.1 hours and more
204,24.3,0,9,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
205,71.6,4,10,Female,Widowed,Less than high school diploma or its equivalent,Excellent,"$25,000 to $49,999",40.1 to 50.0 hours
206,68.3,0,7,Male,Married,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",Valid skip
207,59.2,3,8,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$125,000 and more",30.0 to 40.0 hours
208,41.4,2,6,Female,Separated,University certificate or diploma below the bachelor's level,Good,"$50,000 to $74,999",30.0 to 40.0 hours
209,66.8,4,8,Female,Married,"College, CEGEP or other non-university certificate or di...",Fair,"$50,000 to $74,999",0.1 to 29.9 hours
210,56.2,2,10,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"Less than $25,000",Valid skip
211,69.3,5,9,Male,Married,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
212,76.6,3,9,Male,Married,"University certificate, diploma or degree above the bach...",Excellent,"$100,000 to $ 124,999",Valid skip
213,53.7,2,9,Female,Living common-law,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",0.1 to 29.9 hours
214,76,7,10,Female,Widowed,Less than high school diploma or its equivalent,Excellent,"Less than $25,000",Valid skip
215,33,0,7,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"Less than $25,000",30.0 to 40.0 hours
216,30.6,1,9,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Very good,"Less than $25,000",50.1 hours and more
217,53.9,2,6,Female,Living common-law,"College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",30.0 to 40.0 hours
218,53.3,3,8,Male,Married,Trade certificate or diploma,Very good,"$125,000 and more",30.0 to 40.0 hours
219,70.5,2,9,Male,Married,Trade certificate or diploma,Very good,"$50,000 to $74,999",Valid skip
220,65.3,4,10,Male,Married,Less than high school diploma or its equivalent,Very good,"Less than $25,000",50.1 hours and more
221,72.5,2,8,Female,Married,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
222,37,1,8,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"Less than $25,000",0.1 to 29.9 hours
